mapSize,dist,time,start,end,,mapSize,dist,time,start,end
33019,19.2224726086,34.9563286304474,1653060103.2141,1653060138.17043,,48164,27.8818731205,63.9946291446686,1653060103.2141,1653060167.20873
36303,23.143157515,35.9029076099396,1653060803.74584,1653060839.64874,,38839,27.3640294091,45.3278632164002,1653060803.74584,1653060849.0737
33230,20.5033500272,31.9638257026672,1653061114.44066,1653061146.40449,,46647,28.0392984035,47.6827318668366,1653061114.44066,1653061162.1234
32048,21.094820751,35.3174569606781,1653061408.34458,1653061443.66203,,42437,27.5786094861,43.743926525116,1653061408.34458,1653061452.0885
,,-1653064779.01368,1653064779.01368,,,,,-1653064779.01368,1653064779.01368,
,,0,,,,,,0,0,
,,0,,,,,,0,0,
,,0,,,,,,0,0,
,,0,,,,,,0,0,
,,0,,,,,,0,0,
